,index,지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
0,2728,108,서울,2013-02,-1.2,2.8,-4.9,13.9,-15.8,20130228.0,20130208.0,1014.2,1025.1,1034.9,1011.1,20130208.0,20130228.0,3.2,10.7,0.7,20130201.0,20130208.0,-10.3,54.0,15.0,20130224.0,74.1,46.5,,,20130201.0,,,48.7,3.3,,,20130225.0,,2.9,8.4,14.8,270.0,290.0,20130223.0,20130223.0,290.0,4.7,2.8,187.2,61.78,296.48,16.5,9.0,24.9,20130204.0,20130203.0,-7.0,-18.1,20130208.0,0.4,0.0,-0.3,-0.1,0.1,1.1,3.1,4.6,11.3,15.2
1,2729,108,서울,2013-03,5.1,10.8,0.7,23.8,-4.4,20130309.0,20130302.0,1007.3,1017.9,1028.9,1000.5,20130314.0,20130309.0,4.3,9.7,1.5,20130313.0,20130320.0,-5.7,49.0,8.0,20130327.0,27.3,11.5,,,20130313.0,,,96.7,8.1,,,20130309.0,,3.0,8.8,15.4,230.0,320.0,20130309.0,20130320.0,270.0,3.3,2.1,256.3,69.05,443.31,,,,,,-2.7,-6.7,20130321.0,7.0,6.0,5.7,5.5,5.5,5.1,5.4,5.9,10.1,13.9
2,2730,108,서울,2013-04,10.0,15.0,5.7,21.6,1.3,20130428.0,20130410.0,1002.6,1012.9,1024.7,997.3,20130422.0,20130406.0,6.5,15.9,1.5,20130429.0,20130414.0,-0.1,54.0,12.0,20130414.0,71.7,21.0,11.5,4.0,20130429.0,20130429.0,20130429.0,111.1,6.6,78.5,5.5,20130413.0,20130413.0,3.4,9.9,17.7,230.0,200.0,20130416.0,20130429.0,270.0,5.0,3.4,213.2,53.92,449.86,,,,,,2.8,-3.9,20130410.0,11.5,11.1,10.6,10.5,10.3,10.1,9.3,9.1,10.3,13.0
3,2731,108,서울,2013-05,18.2,23.6,13.7,31.8,7.9,20130525.0,20130506.0,1001.5,1011.5,1022.6,996.9,20130505.0,20130519.0,11.6,21.8,3.5,20130528.0,20130521.0,8.6,58.0,11.0,20130521.0,132.0,56.5,11.0,2.5,20130527.0,20130527.0,20130528.0,143.0,7.9,98.3,6.5,20130516.0,20130516.0,2.9,8.5,11.6,270.0,70.0,20130505.0,20130527.0,270.0,4.7,2.9,238.1,54.08,513.2,,,,,,10.5,3.9,20130521.0,20.2,19.9,19.0,18.5,17.9,17.3,14.9,13.5,11.6,12.8
4,2732,108,서울,2013-06,24.4,29.2,20.5,32.6,16.3,20130629.0,20130602.0,998.0,1007.7,1017.8,994.6,20130605.0,20130618.0,17.8,24.4,7.9,20130618.0,20130609.0,15.4,60.0,15.0,20130609.0,28.3,12.0,3.5,1.0,20130618.0,20130611.0,20130628.0,160.3,9.3,107.5,7.5,20130609.0,20130609.0,2.2,6.2,10.4,250.0,20.0,20130623.0,20130604.0,270.0,5.4,3.3,224.0,50.67,507.43,,,,,,17.3,11.6,20130602.0,28.2,27.0,26.1,25.4,24.6,23.5,20.5,18.5,13.9,13.2
5,2733,108,서울,2013-07,25.5,28.3,23.4,31.3,20.5,20130701.0,20130703.0,995.3,1005.0,1012.8,995.6,20130714.0,20130702.0,25.6,30.7,18.8,20130729.0,20130701.0,21.4,79.0,40.0,20130701.0,676.2,165.0,42.0,14.5,20130713.0,20130722.0,20130722.0,87.1,7.1,64.1,5.7,20130703.0,20130703.0,3.4,10.9,18.0,230.0,230.0,20130708.0,20130708.0,230.0,8.5,6.5,101.0,22.51,268.48,,,,,,22.4,19.1,20130707.0,26.4,26.4,25.9,25.7,25.4,25.5,23.9,22.7,18.4,15.0
6,2734,108,서울,2013-08,27.7,31.1,24.8,33.9,21.1,20130821.0,20130831.0,996.8,1006.5,1011.8,995.9,20130811.0,20130829.0,25.4,33.6,12.8,20130809.0,20130825.0,21.1,69.0,28.0,20130825.0,148.6,45.0,43.5,15.0,20130806.0,20130806.0,20130806.0,135.8,6.9,96.9,4.7,20130822.0,20130825.0,2.8,9.9,15.6,200.0,250.0,20130829.0,20130805.0,230.0,6.2,5.1,217.9,51.73,420.57,,,,,,22.5,18.1,20130831.0,29.5,28.7,28.1,28.0,27.7,27.9,26.1,24.7,19.9,16.5
7,2735,108,서울,2013-09,21.8,25.9,18.0,31.1,10.9,20130918.0,20130927.0,1005.0,1014.9,1022.0,1007.2,20130918.0,20130915.0,16.2,26.9,4.4,20130913.0,20130926.0,13.6,63.0,16.0,20130926.0,138.5,50.0,13.0,4.5,20130913.0,20130913.0,20130910.0,109.3,6.3,74.9,4.6,20130917.0,20130917.0,2.2,6.2,11.0,70.0,50.0,20130922.0,20130922.0,70.0,5.5,3.3,191.0,51.22,368.82,,,,,,14.8,5.7,20130927.0,24.1,23.2,23.1,23.5,23.9,24.0,24.4,24.2,21.1,17.6
8,2736,108,서울,2013-10,15.8,21.2,10.9,28.1,4.3,20131005.0,20131026.0,1010.0,1020.2,1030.9,1008.0,20131018.0,20131011.0,10.6,22.2,3.4,20131008.0,20131025.0,7.0,59.0,19.0,20131005.0,13.5,6.5,6.0,4.5,20131011.0,20131011.0,20131011.0,96.1,4.9,59.7,3.4,20131005.0,20131011.0,2.5,8.5,14.8,250.0,250.0,20131011.0,20131011.0,70.0,2.9,1.8,249.9,71.79,372.79,,,,,,6.6,0.0,20131026.0,16.4,16.2,16.5,17.3,18.3,18.9,20.8,21.6,20.8,18.4
9,2737,108,서울,2013-11,6.2,10.7,2.1,20.7,-6.4,20131101.0,20131128.0,1009.6,1020.2,1028.3,997.4,20131105.0,20131125.0,5.9,13.1,1.7,20131106.0,20131128.0,-2.1,58.0,18.0,20131108.0,46.8,14.0,,,20131124.0,,,60.0,4.2,,,20131120.0,,2.7,12.6,20.0,230.0,230.0,20131125.0,20131125.0,270.0,3.9,2.7,188.0,61.56,233.94,,,,,,-1.5,-9.5,20131129.0,5.8,6.7,7.2,8.3,10.1,11.2,15.0,17.0,19.4,18.4
